,Dokumen1,Dokumen2,Dokumen3,Dokumen4,Dokumen5
abad,0.0,0.01615077285559461,0.0,0.06447406332636857,0.0
absen,0.0,0.0,0.0,0.01712441563817804,0.0
abu,0.0,0.0,0.0,0.0,0.12971513892662231
acara,0.0,0.0,0.0,0.011416277092118692,0.0
achterhoek,0.0,0.0,0.0,0.005708138546059346,0.0
acre,0.0,0.0,0.0,0.005708138546059346,0.0
adil,0.0998302744348592,0.0,0.0,0.0,0.0
adopsi,0.0,0.0,0.0,0.005708138546059346,0.0
agama,0.08054243683152218,0.0,0.0,0.00921058047519551,0.0
agung,0.059462075828580485,0.03815562649492372,0.01845855178311895,0.048959254829426625,0.06180995871750392
air,0.020135609207880545,0.0,0.0,0.013815870712793265,0.0
ajar,0.0,0.0,0.0,0.00921058047519551,0.017442226222178066
aju,0.0249575686087148,0.0,0.0,0.0,0.0
akar,0.0,0.0,0.0,0.005708138546059346,0.0
akibat,0.0,0.0,0.0,0.005708138546059346,0.0
aksara,0.0,0.0,0.0,0.005708138546059346,0.0
akses,0.0,0.0,0.0,0.005708138546059346,0.0
alami,0.0,0.0,0.0,0.005708138546059346,0.0
alas,0.020135609207880545,0.0,0.0,0.00921058047519551,0.0
alat,0.0,0.0,0.0,0.005708138546059346,0.0
aleksandria,0.0,0.0,0.0,0.05137324691453412,0.0
aleppo,0.0,0.0,0.0,0.005708138546059346,0.0
algoritme,0.0,0.0,0.0,0.022832554184237384,0.0
alkitab,0.04027121841576109,0.0,0.0,0.013815870712793265,0.0
allah,0.14060658812769494,0.022556109858963436,0.021823943680379022,0.0032158656882999796,0.0
alleluia,0.0,0.0,0.0,0.005708138546059346,0.0
alleluya,0.0,0.02001846666101936,0.0,0.0,0.0
almasih,0.0,0.02001846666101936,0.0,0.0,0.0
alternatif,0.0,0.01615077285559461,0.0,0.004605290237597755,0.0
amal,0.0,0.0,0.0312530449088076,0.0,0.017442226222178066
ambil,0.0334287491331007,0.0,0.025942850477381423,0.011468420730289211,0.0
ambrosius,0.0,0.0,0.0,0.005708138546059346,0.0
amerika,0.0,0.0,0.0,0.03424883127635608,0.0
ampun,0.0,0.02001846666101936,0.0,0.0,0.0
anak,0.08357187283275175,0.013406600429155676,0.0,0.045873682921156844,0.0
analisis,0.0249575686087148,0.0,0.0,0.0,0.0
anastasimon,0.0,0.0,0.0,0.005708138546059346,0.0
and,0.0,0.01615077285559461,0.0,0.004605290237597755,0.0
andaikata,0.0,0.0,0.0,0.005708138546059346,0.0
angers,0.0,0.0,0.0,0.005708138546059346,0.0
anggap,0.0,0.01615077285559461,0.0,0.01842116095039102,0.0
anggota,0.0,0.0,0.0,0.022832554184237384,0.0
anggur,0.0,0.0,0.0,0.011416277092118692,0.0
anglikan,0.0,0.03230154571118922,0.0,0.004605290237597755,0.0
anjur,0.0,0.0,0.0,0.0,0.021619189821103717
anonim,0.0,0.0,0.0,0.005708138546059346,0.0
antiokhia,0.0,0.0,0.0,0.005708138546059346,0.0
antre,0.0,0.0,0.0,0.005708138546059346,0.0
anut,0.0,0.0,0.0,0.005708138546059346,0.0
anyam,0.0249575686087148,0.0,0.0,0.0,0.0
api,0.0,0.0,0.0,0.057081385460593465,0.0
apostolik,0.0,0.0,0.0,0.0,0.04323837964220743
april,0.14094926445516381,0.0,0.0,0.07368464380156407,0.0
ara,0.0,0.12011079996611616,0.0,0.0,0.0
arab,0.0,0.0,0.0,0.01712441563817804,0.0
arah,0.0,0.0,0.0312530449088076,0.0,0.017442226222178066
arak,0.0,0.0,0.0,0.005708138546059346,0.0
aram,0.0,0.0,0.0,0.011416277092118692,0.0
arsip,0.0,0.0,0.0,0.005708138546059346,0.0
arti,0.0,0.0,0.025942850477381423,0.03440526219086763,0.11582898708141044
artikel,0.10067804603940272,0.01615077285559461,0.0,0.0,0.0
arton,0.0,0.0,0.0,0.005708138546059346,0.0
artos,0.0,0.0,0.0,0.005708138546059346,0.0
as,0.0,0.0,0.0,0.01712441563817804,0.0
asa,0.0,0.0,0.0,0.005708138546059346,0.0
asia,0.0,0.0,0.0,0.011416277092118692,0.0
asli,0.0,0.0,0.0,0.005708138546059346,0.0
asosiasi,0.0,0.0,0.0312530449088076,0.004605290237597755,0.0
astre,0.0,0.0,0.0,0.005708138546059346,0.0
astronomi,0.0,0.0,0.0,0.011416277092118692,0.0
astronomical,0.0249575686087148,0.0,0.0,0.0,0.0
astronomis,0.0,0.0,0.0,0.028540692730296732,0.0
asupan,0.0,0.0,0.0,0.0,0.06485756946331116
atur,0.0,0.0,0.0,0.004605290237597755,0.1046533573330684
australia,0.020135609207880545,0.0,0.0,0.004605290237597755,0.0
austria,0.0,0.0,0.0,0.005708138546059346,0.0
ayam,0.0499151372174296,0.0,0.0,0.0,0.0
ayat,0.0,0.0,0.0,0.011416277092118692,0.0
azumos,0.0,0.0,0.0,0.005708138546059346,0.0
baca,0.0,0.04021980128746703,0.07782855143214426,0.015291227640385614,0.0
bagan,0.0,0.0,0.0,0.005708138546059346,0.0
bahan,0.0,0.0,0.0,0.005708138546059346,0.0
baharu,0.0,0.02001846666101936,0.0,0.0,0.0
bahas,0.0,0.0,0.0,0.005708138546059346,0.0
bahasa,0.0,0.01615077285559461,0.0,0.1335534168903349,0.0
bait,0.05014312369965104,0.013406600429155676,0.0,0.0038228069100964034,0.0
bakti,0.0,0.01615077285559461,0.0,0.07368464380156407,0.0
bakung,0.0,0.0,0.0,0.005708138546059346,0.0
banding,0.0,0.0,0.0,0.005708138546059346,0.0
bangkit,0.0334287491331007,0.0,0.025942850477381423,0.08410175202212088,0.0
bangsa,0.020135609207880545,0.0,0.0,0.01842116095039102,0.0
bangun,0.04027121841576109,0.0,0.0,0.004605290237597755,0.0
bantu,0.0,0.0,0.0,0.005708138546059346,0.0
bapa,0.0,0.02001846666101936,0.0,0.0,0.0
baptis,0.0,0.0,0.0,0.01712441563817804,0.0
bar,0.0,0.0,0.0,0.005708138546059346,0.0
barabas,0.0499151372174296,0.0,0.0,0.0,0.0
barat,0.05014312369965104,0.013406600429155676,0.0,0.015291227640385614,0.0
baratgregorian,0.0,0.0,0.0,0.005708138546059346,0.0
basuh,0.020135609207880545,0.2745631385451084,0.0,0.0,0.0
batang,0.0249575686087148,0.0,0.0,0.0,0.0
batu,0.020135609207880545,0.0,0.0,0.00921058047519551,0.0
bawa,0.07030329406384747,0.011278054929481718,0.021823943680379022,0.0032158656882999796,0.0
beban,0.0,0.0,0.0,0.0,0.021619189821103717
bebas,0.0499151372174296,0.0,0.0,0.0,0.0
beda,0.023784830331432194,0.01907781324746186,0.01845855178311895,0.03807942042288738,0.010301659786250654
bede,0.0,0.0,0.0,0.011416277092118692,0.0
bel,0.0,0.08007386664407744,0.0,0.0,0.0
belah,0.12478784304357401,0.0,0.0,0.0,0.0
belanda,0.0,0.0,0.0,0.01712441563817804,0.0
belanja,0.0,0.0,0.0,0.005708138546059346,0.0
belarusia,0.0,0.0,0.0,0.005708138546059346,0.0
belas,0.0,0.013406600429155676,0.0,0.0038228069100964034,0.014478623385176305
bell,0.0,0.0,0.0,0.005708138546059346,0.0
bendera,0.0,0.0,0.0,0.005708138546059346,0.0
benediktin,0.0,0.0,0.0,0.005708138546059346,0.0
bentuk,0.0,0.01615077285559461,0.0,0.02763174142558653,0.0
benua,0.0,0.0,0.0,0.005708138546059346,0.0
berdoae,0.0,0.0,0.0,0.005708138546059346,0.0
berita,0.0,0.0,0.0,0.005708138546059346,0.0
berkat,0.0,0.01615077285559461,0.0,0.01842116095039102,0.0
berliner,0.0,0.0,0.0,0.005708138546059346,0.0
bersih,0.0,0.01615077285559461,0.0,0.00921058047519551,0.0
betapa,0.0249575686087148,0.0,0.0,0.0,0.0
bewarna,0.0,0.0,0.0,0.005708138546059346,0.0
biar,0.0249575686087148,0.0,0.0,0.0,0.0
biara,0.0,0.0,0.0,0.005708138546059346,0.0
biarawan,0.0,0.0,0.0,0.011416277092118692,0.0
bidat,0.0,0.0,0.0,0.005708138546059346,0.0
bina,0.0,0.0,0.0,0.0,0.021619189821103717
biru,0.0,0.0,0.038737343603070074,0.0,0.0
bis,0.0,0.0,0.0,0.005708138546059346,0.0
bizantium,0.0,0.02001846666101936,0.0,0.0,0.0
bobbio,0.0,0.0,0.0,0.005708138546059346,0.0
bohemia,0.0,0.0,0.0,0.005708138546059346,0.0
bola,0.0,0.0,0.0,0.03995696982241542,0.0
book,0.0,0.02001846666101936,0.0,0.0,0.0
bosnia,0.0,0.0,0.0,0.005708138546059346,0.0
brian,0.0,0.02001846666101936,0.0,0.0,0.0
britania,0.0,0.01615077285559461,0.0,0.004605290237597755,0.0
buah,0.014060658812769493,0.056390274647408596,0.021823943680379022,0.028942791194699818,0.0
buang,0.0249575686087148,0.0,0.0,0.0,0.0
bubuh,0.0,0.0,0.0,0.005708138546059346,0.0
budak,0.0,0.02001846666101936,0.0,0.0,0.0
budaya,0.0,0.01615077285559461,0.0,0.004605290237597755,0.0
buka,0.014060658812769493,0.011278054929481718,0.021823943680379022,0.006431731376599959,0.0
bukit,0.0249575686087148,0.0,0.0,0.0,0.0
buku,0.0,0.03230154571118922,0.0,0.023026451187988774,0.0
bulgaria,0.0,0.0,0.0,0.005708138546059346,0.0
buluh,0.0499151372174296,0.0,0.0,0.0,0.0
