,Dokumen1,Dokumen2,Dokumen3,Dokumen4,Dokumen5
abandonment,0.008206228142153835,0.0,0.0,0.0,0.0
abasement,0.0,0.0,0.009514480497267648,0.0,0.0
abbey,0.0,0.0,0.009514480497267648,0.0,0.0
abbot,0.0,0.0,0.009514480497267648,0.0,0.0
able,0.0,0.02172248139340547,0.0,0.0,0.0
absent,0.0,0.010861240696702735,0.0,0.0,0.0
abstain,0.0,0.08762780606167246,0.007676222957154791,0.0,0.0
abstention,0.0,0.0,0.009514480497267648,0.0,0.0
abstinence,0.0,0.6190907197120559,0.0,0.0,0.0
abundance,0.0,0.0,0.009514480497267648,0.0,0.0
accept,0.0,0.0,0.0,0.014866994038353155,0.0
acceptable,0.006620733194475637,0.008762780606167246,0.0,0.0,0.0
accepted,0.0054958066267172725,0.007273899477481921,0.0,0.009956599175647897,0.0
acclamation,0.0,0.0,0.009514480497267648,0.0,0.0
accommodate,0.0,0.010861240696702735,0.0,0.0,0.0
accompaniment,0.0,0.0,0.0,0.014866994038353155,0.0
accordance,0.0,0.008762780606167246,0.015352445914309582,0.0,0.0
according,0.027372181753273533,0.020701757547785735,0.02266850467959958,0.03542101158615757,0.023043203027144563
accordingly,0.008206228142153835,0.0,0.0,0.0,0.0
account,0.006620733194475637,0.0,0.030704891828619164,0.0,0.0
accurate,0.008206228142153835,0.0,0.0,0.0,0.0
across,0.01641245628430767,0.0,0.0,0.0,0.0
act,0.013241466388951274,0.0,0.0,0.01199459717993677,0.0
action,0.0,0.0,0.0,0.014866994038353155,0.0
actual,0.006620733194475637,0.008762780606167246,0.0,0.0,0.0
actually,0.0,0.0,0.015352445914309582,0.0,0.009753883559120054
ad,0.010991613253434545,0.007273899477481921,0.0,0.0,0.008096604458426028
adaptation,0.008206228142153835,0.0,0.0,0.0,0.0
added,0.006620733194475637,0.0,0.0,0.0,0.009753883559120054
addition,0.004623245791911063,0.01835710065920177,0.010720584697190089,0.008375805112352504,0.0
additional,0.01986219958342691,0.0,0.0,0.01199459717993677,0.0
additionally,0.006620733194475637,0.008762780606167246,0.0,0.0,0.0
address,0.0,0.0,0.009514480497267648,0.0,0.0
adherence,0.0,0.0,0.009514480497267648,0.0,0.0
adjure,0.0,0.0,0.009514480497267648,0.0,0.0
adjust,0.0,0.010861240696702735,0.0,0.0,0.0
adopt,0.0,0.010861240696702735,0.0,0.0,0.0
adopted,0.07385605327938452,0.0,0.0,0.0,0.0
adoration,0.0,0.0,0.03805792198907059,0.0,0.0
adult,0.0,0.0,0.009514480497267648,0.0,0.0
advance,0.006620733194475637,0.0,0.007676222957154791,0.0,0.0
advantage,0.0,0.010861240696702735,0.0,0.0,0.0
affiliation,0.0,0.0,0.0,0.014866994038353155,0.0
affirm,0.008206228142153835,0.0,0.0,0.0,0.0
afflict,0.0,0.010861240696702735,0.0,0.0,0.0
afternoon,0.0,0.0,0.03805792198907059,0.0,0.0
afterward,0.0,0.010861240696702735,0.0,0.0,0.0
age,0.0,0.10515336727400695,0.0,0.02398919435987354,0.0
agency,0.0,0.0,0.009514480497267648,0.0,0.0
agnus,0.0,0.0,0.009514480497267648,0.0,0.0
agony,0.0,0.0,0.05708688298360588,0.0,0.0
agreed,0.008206228142153835,0.0,0.0,0.0,0.0
agreeing,0.008206228142153835,0.0,0.0,0.0,0.0
agreement,0.01641245628430767,0.0,0.0,0.0,0.0
aim,0.0,0.0,0.009514480497267648,0.0,0.0
alcohol,0.0,0.0325837220901082,0.0,0.0,0.0
alcoholic,0.0,0.008762780606167246,0.007676222957154791,0.0,0.0
allegory,0.008206228142153835,0.0,0.0,0.0,0.0
alleluia,0.006620733194475637,0.0,0.015352445914309582,0.0,0.0
alligator,0.0,0.010861240696702735,0.0,0.0,0.0
allow,0.0,0.007273899477481921,0.0,0.019913198351295795,0.008096604458426028
almighty,0.0,0.0,0.007676222957154791,0.0,0.009753883559120054
almost,0.03282491256861534,0.0,0.0,0.0,0.0
alms,0.0,0.0,0.0,0.02973398807670631,0.0
almsgiving,0.0,0.010861240696702735,0.0,0.0,0.0
alone,0.0054958066267172725,0.0,0.006371958476032771,0.009956599175647897,0.0
along,0.0,0.0,0.012743916952065542,0.029869797526943694,0.016193208916852057
alongside,0.0,0.0,0.0,0.0,0.012089687260759943
aloud,0.0,0.0,0.009514480497267648,0.0,0.0
already,0.010991613253434545,0.007273899477481921,0.006371958476032771,0.0,0.0
also,0.07038561022270337,0.0931579089650358,0.09067401871839832,0.09917883244124119,0.046086406054289125
altar,0.009246491583822127,0.0,0.0482426311373554,0.041879025561762526,0.006811118919143182
alternating,0.008206228142153835,0.0,0.0,0.0,0.0
alternative,0.013241466388951274,0.008762780606167246,0.0,0.0,0.0
alternatively,0.0,0.0,0.0,0.014866994038353155,0.0
although,0.01955155839519538,0.0155263181608393,0.02266850467959958,0.007084202317231514,0.011521601513572281
always,0.011730935037117227,0.010350878773892867,0.004533700935919916,0.007084202317231514,0.005760800756786141
ambiguously,0.0,0.0,0.009514480497267648,0.0,0.0
ambrose,0.0,0.0,0.009514480497267648,0.0,0.0
amen,0.0,0.0,0.0,0.0,0.012089687260759943
among,0.01955155839519538,0.005175439386946434,0.018134803743679664,0.028336809268926056,0.023043203027144563
amount,0.0,0.008762780606167246,0.0,0.01199459717993677,0.0
analogous,0.01641245628430767,0.0,0.0,0.0,0.0
anastasis,0.008206228142153835,0.0,0.0,0.0,0.0
anatomy,0.0,0.010861240696702735,0.0,0.0,0.0
ancient,0.009246491583822127,0.012238067106134514,0.0,0.008375805112352504,0.02724447567657273
angel,0.0,0.008762780606167246,0.015352445914309582,0.0,0.0
anger,0.0,0.010861240696702735,0.0,0.0,0.0
animal,0.0,0.02628834181850174,0.0,0.0,0.019507767118240107
anniversary,0.008206228142153835,0.0,0.0,0.0,0.0
announce,0.0,0.0,0.0,0.014866994038353155,0.0
annual,0.016487419880151816,0.0,0.012743916952065542,0.009956599175647897,0.0
annually,0.008206228142153835,0.0,0.0,0.0,0.0
annunciation,0.0,0.0,0.007676222957154791,0.0,0.009753883559120054
