,term,rank
1107,yesus,0.9313283737652002
709,paskah,0.8282173186416368
695,pantang,0.605337314990904
607,minggu,0.6038770268549398
689,palem,0.503585466839911
980,tanggal,0.47821156086954164
284,gereja,0.44941722926084005
1013,thursday,0.4404062665424259
187,daun,0.4261107796337708
784,puasa,0.42419765429808426
406,kaki,0.42038779988140657
663,orang,0.39519839950701163
803,raya,0.39462072877917515
690,palma,0.330951610038467
1056,umat,0.33052369021223676
562,makan,0.32875487744021137
407,kalender,0.30339519999044584
400,jumat,0.3021684499594596
238,engkau,0.2994908233045776
99,basuh,0.29469874775298893
580,mati,0.2823182252176021
852,salib,0.263307074931203
510,laku,0.2599087309792474
423,katolik,0.24040698996092252
1091,wajib,0.2378110880321409
411,kamis,0.23759178854831647
1106,yerusalem,0.23258718507444645
9,agung,0.22684546765355368
630,nama,0.22371140378751825
1105,yahudi,0.21690863440106067
52,april,0.2146339082567279
570,maret,0.20659972150415107
914,simbol,0.2043928683528783
329,hitung,0.20310065683157005
331,holy,0.2001846666101936
583,maundy,0.2001846666101936
306,hadap,0.1996605488697184
491,kristen,0.1972059160260627
487,kota,0.1923023098746143
790,putih,0.18913946998153264
24,allah,0.1882025073553374
954,suci,0.18076547666521128
988,tata,0.18016619994917424
1070,usia,0.1790275524593784
59,arti,0.1761770997496595
211,doa,0.1749092128573392
896,sengsara,0.17395853315956122
582,matius,0.1730644474389399
386,jatuh,0.17303748769413718
509,laksana,0.17295351856882973
441,kenang,0.1718764270113247
336,hukum,0.1551905382851202
626,musim,0.15362790781519362
296,gregorian,0.15133623865297802
523,layan,0.14996224593794927
444,kepala,0.1497454116522888
760,pilatus,0.1497454116522888
84,bahasa,0.1497041897459295
541,liturgi,0.14776045761945258
535,lihat,0.14384010643527204
89,bangkit,0.143473351632603
34,anak,0.14285215618306427
565,malam,0.14210179810933746
382,jamu,0.14108948036377478
748,peristiwa,0.13959981102655805
1027,tobat,0.13824635641084107
1075,utama,0.13740422380562603
339,ibadah,0.13701846082072322
576,masuk,0.13414878935138425
1003,terang,0.13381147308235464
79,baca,0.1333395803599969
357,indonesia,0.13228509875865493
2,abu,0.12971513892662231
593,menang,0.12813139029626885
108,belah,0.12478784304357401
1093,wali,0.12478784304357401
354,imam,0.1243067068929205
1031,tradisi,0.12345120292865797
826,roma,0.1225076996059654
140,buah,0.12121766833525692
836,rupa,0.12075816510030281
788,purnama,0.12027560071241244
53,ara,0.12011079996611616
493,kristus,0.1200390545853837
370,istilah,0.11875861144932867
360,injil,0.11698052340167477
60,artikel,0.11682881889499733
398,juli,0.11567031047481469
730,pekan,0.11498879121517176
795,rabu,0.11123172869780099
105,beda,0.10970227557115103
73,atur,0.10925864757066615
899,serah,0.10885914619042547
893,semi,0.10855899219359275
468,konferensi,0.1080959491055186
102,bawa,0.1066211583620082
