,term,rank
628,easter,0.9599654616731784
332,church,0.8509101795068487
1371,palm,0.8030284151600918
530,day,0.7289884147915827
935,holy,0.7278867357444609
875,good,0.6674679341375961
8,abstinence,0.6190907197120559
1178,maundy,0.5527079917472145
494,cross,0.4279851659989369
70,also,0.39948277640166785
531,days,0.3949336671888322
749,fasting,0.386936822135762
290,catholic,0.34265349890847185
748,fast,0.32824856665239494
1773,service,0.3117529917688977
886,great,0.3013357619127718
2140,used,0.28129837639138106
1360,orthodox,0.2750496908305782
2200,week,0.2741686355357846
933,holiday,0.26448482506730825
1095,lent,0.2591224724504683
1172,mass,0.25153367803727933
629,eastern,0.24883393869340806
1187,meat,0.24427129932367042
1258,name,0.2405643501456039
330,chrism,0.2378719046136505
527,date,0.2323234709901165
1516,procession,0.23230424782177958
2265,year,0.22444301697602662
1541,public,0.22055136209414183
1123,liturgy,0.21594968785704965
1668,resurrection,0.2121050150110326
1162,many,0.21207602177251947
266,calendar,0.20975676254549488
1338,one,0.20420008523982916
2026,three,0.20069606169624302
1053,known,0.19815417280700798
2190,washing,0.193270922498591
1388,passion,0.1800400876039643
2062,tradition,0.1800212658346795
2047,tomb,0.17895190215831921
2009,th,0.17837579298065973
838,full,0.1763415402990206
778,first,0.17225782529942268
1277,new,0.17218471817384923
871,god,0.1694787963062269
1235,moon,0.16868479914992837
1072,law,0.1628157721269721
1181,may,0.15823910732173066
2003,term,0.15436519579518057
1133,lord,0.15398782625858906
1958,supper,0.1527938262833864
275,canon,0.15229726266594817
1387,paschal,0.15225419941426047
1691,rite,0.15169699246162602
877,gospel,0.1502656134962536
2210,western,0.14707741439815408
218,blessed,0.1464833976734078
303,century,0.14641325558868729
2116,united,0.14543431855711458
604,donkey,0.14507624712911932
1067,last,0.1428096581730719
1472,practice,0.14242794001272355
513,custom,0.14218332026768227
1443,place,0.1417875702130059
1407,people,0.14165134381503441
1143,lunar,0.1395058784166152
2243,word,0.13925768211498862
536,death,0.13908814440107167
1207,methodist,0.1388548480149679
1498,priest,0.13764353532121842
2037,time,0.13666874637627938
1401,penance,0.13462211521849354
499,crucifixion,0.13346005412114678
1332,often,0.13090257207959088
17,according,0.12920665859396097
47,age,0.1291425616338805
1146,made,0.12860088625482735
215,black,0.12805037959353105
1539,psalm,0.1269748885184072
801,following,0.12614769651108554
2137,us,0.12551608630746994
2167,vigil,0.12478514454781327
1379,part,0.12153652763428832
1086,leaves,0.12089687260759943
1892,st,0.11785360902193064
1460,pope,0.11721496272261547
214,bishop,0.1169458262491388
622,early,0.11645254456706103
1043,king,0.11495652915130322
297,celebration,0.11419150364767124
394,communion,0.11301399512467841
126,around,0.11296711957840659
236,bread,0.11288102590851802
2205,well,0.11256437562487004
1476,prayer,0.11249070122669515
305,ceremony,0.10965259106812518
1337,olive,0.1095334327711373
696,evening,0.10930482509981343
1390,passover,0.10825524651161529
1234,month,0.10698722087428936
519,cycle,0.10668096584799985
71,altar,0.10617926720208323
389,common,0.10595250289351243
742,faithful,0.10580277272125528
1985,take,0.10579239890549855
675,entry,0.10415956878567617
1156,mandatum,0.10406895826847208
136,ash,0.10384529753474274
2029,throughout,0.10272167993094884
1122,liturgical,0.10219676680659054
478,council,0.10145304532882618
1163,march,0.10121379009679234
1730,sanctuary,0.1010597373444248
1900,state,0.10028188158935394
653,ember,0.09775116627032461
2063,traditional,0.0969981328056384
1334,oil,0.09679790626907606
2226,willow,0.09671749808607955
948,hour,0.09537434843289486
6,abstain,0.09530402901882726
754,feast,0.09503299279416652
80,among,0.09424181382189209
1182,meal,0.09413476806816012
1335,old,0.09384743678145166
2095,two,0.09324021029635604
2032,thy,0.09239136175841839
1776,seven,0.09168477099729563
193,beginning,0.09159473307940917
594,distributed,0.0911933412295654
822,four,0.09071522113995323
1147,main,0.09061527229072122
951,however,0.090520333849818
1710,royal,0.08971735223989385
2254,would,0.08970811288597218
351,closed,0.08928745196681193
1952,sung,0.08875682675148468
225,book,0.08853370396308877
1871,special,0.08781768135556778
1574,reading,0.08775102551717148
2064,traditionally,0.08714088146027393
1280,night,0.08696901776987945
1308,obligatory,0.08688992557362188
223,body,0.08572005884754483
2139,use,0.08523430495234931
131,article,0.0840800226060473
219,blessing,0.08390697192048233
296,celebrated,0.08346395798688483
2031,thus,0.08310227058878376
2039,times,0.08275634342400974
1103,life,0.08236555227009285
144,astronomical,0.08206228142153836
642,egg,0.08206228142153836
2132,upon,0.08203798192629952
1986,taken,0.08178665582805286
2094,twelve,0.08150743952357473
644,either,0.0814164894407699
2143,usually,0.08134015604509545
1723,saint,0.08044476772955035
712,except,0.08040091320086941
1717,sacrament,0.07975741148343485
177,based,0.07935664194329768
1973,symbol,0.07909436586852084
1237,morning,0.07801520573589608
2249,world,0.07697614159592031
75,although,0.07635218506643807
497,crucified,0.07611584397814118
779,fish,0.07602868487691913
605,door,0.07595340787099517
255,burial,0.07570673980886876
2192,water,0.07553914097890772
936,home,0.07533054281695485
430,congregation,0.07525973002923794
802,food,0.07451975347153603
2217,white,0.07392726249130378
782,fixed,0.07388355490191117
37,adopted,0.07385605327938452
1342,open,0.07359576028351045
812,form,0.07340927882066876
924,high,0.0734043808371751
234,branch,0.07253812356455966
1175,matins,0.07192388023734461
1751,second,0.0711097886644323
1330,official,0.07100705759121145
1313,observe,0.07039568041257507
2252,worship,0.0703855667072172
1361,orthodoxy,0.06972686945880391
295,celebrate,0.06952790723338755
764,festival,0.06934048230940079
283,carried,0.0679661996483117
818,forty,0.06796019743764636
510,current,0.06796019743764636
743,fall,0.06754312099076712
1801,sick,0.06711811260962097
967,icon,0.06709253456870859
516,customs,0.06664603438441571
865,give,0.06657905030802637
306,certain,0.06637875455484443
1127,local,0.06590662370272507
250,brought,0.06556510486116886
1845,solemn,0.06556510486116886
1355,oriental,0.06541398875283809
423,conference,0.0651674441802164
360,code,0.0651674441802164
633,ecclesiastical,0.06496046273574187
515,customary,0.06470020873897393
2195,way,0.06409613139845034
695,even,0.06356353754426891
346,clergy,0.0634542358895008
1412,period,0.06343274536809716
852,generally,0.06330136438998568
1888,spring,0.06278811747853673
1636,reparation,0.062496341306250786
557,derived,0.06246672431771286
1818,since,0.06206774978311272
799,follow,0.06192995291900646
379,come,0.061886563623429994
274,candy,0.06172544568451234
1014,instead,0.06094764941853249
1945,suffering,0.060876154269586494
1853,sometimes,0.06080780736246233
1376,parish,0.060666918113083154
2242,wooden,0.060531569378254546
1365,outside,0.0605008387216776
2084,triumphal,0.060448436303799716
1548,pussy,0.060448436303799716
945,hosanna,0.060448436303799716
791,flowering,0.060448436303799716
1812,similar,0.06024076651519937
1108,like,0.05965541752893905
